year,male,female
1956,29.13223,10.87737
1957,29.94037,10.81348
1958,29.41469,10.9639
1959,31.55763,11.55604
1960,31.55822,12.72596
1961,30.05474,11.09167
1962,29.82165,11.16994
1963,31.09758,11.31057
1964,29.80415,10.94708
1965,31.31145,11.00362
1966,33.71492,11.71201
1967,34.85952,11.84606
1968,35.11474,12.51732
1969,33.70097,11.04574
1970,36.7509,12.01178
1971,35.94737,10.85366
1972,35.32833,11.36778
1973,32.85426,9.913467
1974,33.47021,10.03628
1975,32.13456,9.9984
1976,30.23492,9.454665
1977,31.93786,8.85787
1978,31.17116,9.647628
1979,29.62473,8.442943
1980,29.17159,8.96263
1981,29.75902,8.35686
1982,29.4701,8.420896
1983,28.7247,7.684603
1984,27.22851,7.789109
1985,28.21199,7.603957
1986,27.94246,8.296039
1987,26.48314,7.126152
1988,25.4025,7.823055
1989,25.91082,7.449316
1990,26.09548,7.312033
1991,25.53351,6.509547
2004,22.83854675,7.275096893
1951,31.32044,14.27589
1952,30.45185,13.60956
1953,31.37524,14.99642
1954,30.40771,14.17499
1955,30.97018,13.67732
1956,29.09921,13.69933
1957,28.34923,13.39697
1958,27.46453,12.22714
1959,27.81066,12.22801
1960,25.86381,12.29644
1961,21.17315,10.22965
1962,23.74335,12.1017
1963,24.21169,11.66955
1964,25.21853,13.73748
1965,22.6092,13.10448
1966,21.96172,10.9374
1967,22.24749,10.3449
1968,24.91305,13.05375
1969,24.86479,13.89309
1970,25.70774,13.90803
1971,29.20166,16.16964
1972,28.12346,15.63836
1973,27.28619,16.18154
1974,31.18245,15.7398
1975,27.59382,16.26976
1976,28.01597,15.06202
1977,28.48381,15.28153
1978,25.56833,16.32782
1979,29.62135,17.30851
1980,37.48591,19.64175
1981,34.94788,18.21034
1982,33.90575,18.18115
1983,32.74146,16.89326
1984,32.48964,17.36956
1985,30.75394,17.33599
1986,31.02541,16.5684
1987,31.27021,16.34699
1988,28.76131,14.99911
1989,28.80078,15.84603
1990,27.12779,12.48864
1991,25.38968,11.45446
1992,24.24527,11.56925
1993,24.28328,11.54635
1994,21.77519,8.818576
1995,20.36607,8.247846
1996,20.20683,7.469941
1997,17.90091,7.441717
1998,17.51659,6.114258
1999,18.22346,5.802166
2000,16.83931,5.379292
2001,15.95645,5.794447
2002,15.77691,4.873204
2003,14.6668,4.299984
2004,14.70355,5.689239
2004,5.834711552,4.231966019
2004,10.12273216,1.783265352
2004,10.59158802,2.461356163
1973,40.18268,19.24329
1974,42.25063,20.03715
1989,32.29626,11.11047
1990,30.04755,9.880279
2004,12.40048885,4.690472603
1973,0.1149809,0.1022943
1974,0.0971511,0.0326752
1975,0.1955052,0.0822208
1976,0.1452098,0.0929138
1977,0.4956282,0.265601
1978,0.3217689,0.1156929
1979,0.265837,0.1334831
1980,0.0607529,0.0244919
1987,0.0837336,0.0503436
2000,0.1180779,0.0398939
2004,2.018912554,1.606142759
2004,13.28527927,4.166975021
2004,13.45966053,7.129074574
2004,12.03790283,6.53256464
1981,56.72746,14.60823
1982,51.00139,11.88938
1985,50.66416,9.958379
1986,42.33127,10.94282
1987,40.87221,8.646701
1988,36.93274,10.72386
1989,38.19986,12.25039
1990,40.95587,11.23726
1991,41.98287,9.974966
1992,50.07764,12.11447
1993,61.75784,12.47818
1994,67.70052,12.29944
1995,64.82578,12.85668
1996,62.50669,11.1046
1997,61.46761,9.307997
1998,56.36118,8.52366
1999,54.03889,9.188284
2000,41.37693,9.108438
2001,45.37378,8.350281
2002,43.11066,7.395526
2003,39.07565,6.736414
2004,37.54561,6.293787
2004,14.33747578,6.124103069
2004,4.590774059,3.330704927
1952,32.92299,6.338303
1953,31.18618,7.281992
1954,34.31158,7.707232
1955,35.88195,8.487377
1956,40.35818,9.074881
1957,38.2692,9.905864
1958,36.83294,9.75908
1959,35.11429,8.999933
1960,35.65968,8.933072
1961,36.19727,8.80759
1962,37.73875,9.858613
1963,33.52105,7.726057
1964,33.53411,9.401792
1965,34.50203,7.993702
1966,32.03278,8.920331
1967,34.32255,8.169849
1968,36.92916,9.504064
1969,39.26056,9.854064
1970,34.89272,8.769833
1971,35.09113,8.79709
1972,38.69162,9.229571
1973,36.93771,9.496243
1974,39.43605,9.784482
1975,39.36298,9.442504
1976,40.58097,9.485551
1977,40.01245,9.716622
1978,40.43987,8.877536
1979,38.42537,9.063207
1980,38.73922,9.321412
1981,36.34341,8.579315
1982,35.65261,9.323059
1983,36.87139,8.921499
1984,38.43419,8.673536
1985,37.23244,8.783978
1986,39.49035,10.10547
1987,40.41832,10.34389
1988,41.89508,10.0063
1989,42.59584,9.952428
1990,45.09116,10.87554
1991,44.28377,10.14119
1992,42.55037,10.12068
1993,40.26448,9.833062
1994,39.88553,10.38673
1995,38.98032,10.49015
1996,34.7587,9.45045
1997,37.41434,9.463944
1998,34.01262,8.779446
1999,34.14604,8.427931
2000,30.99912,9.725185
2001,32.66965,8.672476
2002,28.76064,8.663737
2003,28.25034,8.375106
2004,28.11936,8.453583
1950,22.18211,5.887676
1952,22.37906,5.894147
1953,22.27051,5.898882
1954,23.49871,6.149604
1955,22.88805,6.312592
1956,24.46199,7.245126
1957,22.904,7.061091
1958,23.08794,7.111049
1959,23.39717,7.370492
1960,22.44482,6.744084
1961,22.93389,6.47076
1962,21.7581,6.214105
1963,22.53988,6.490596
1964,21.36987,6.554833
1965,22.06558,6.369074
1966,22.50273,6.935515
1967,22.51647,6.853002
1968,21.4911,7.248062
1969,21.80194,7.167145
1970,21.40489,7.132113
1971,21.02992,7.327756
1972,21.90327,7.76903
1973,21.17506,7.306815
1974,21.22584,7.436042
1975,21.19529,7.545575
1976,21.18872,7.578704
1977,21.52999,8.381433
1978,22.80707,8.286058
1979,24.76836,8.803364
1980,25.44677,9.274755
1981,25.73259,9.157047
1982,27.47831,9.617654
1983,28.45543,9.992432
1984,28.73677,10.17096
1985,29.38595,10.40593
1986,29.63441,10.5879
1987,27.96375,10.09694
1988,26.52334,9.537703
1989,26.60711,9.432059
1990,25.78439,8.89199
1991,25.72661,8.930861
1992,26.14759,8.761019
1993,27.34009,9.271954
1994,27.0349,8.595119
1995,25.85716,8.586724
1996,24.45665,8.319171
1997,23.92196,8.143969
1998,23.11529,7.349611
1999,22.09909,7.474207
2000,23.39069,7.474487
2001,22.41779,7.268069
2002,22.44498,7.496887
2003,23.04079,7.259634
2004,22.19961,7.523865
2004,9.426732063,6.182321548
2004,8.353575706,4.648649216
1981,10.49851,2.661158
1982,8.221825,2.359338
1985,6.979319,2.290122
1986,6.713596,2.457144
1987,6.365824,2.208648
1988,6.671018,1.896613
1989,6.791742,2.320746
1990,5.492355,1.723654
1991,5.381773,1.802185
1992,6.691033,1.920067
1994,4.890241,1.400695
1995,6.330423,1.544716
1996,7.206788,1.676831
1997,7.287419,1.523687
1998,5.439614,1.173226
1999,6.903577,1.609125
2000,4.303044,0.8593065
2001,2.974255,0.7854481
2004,2.613620758,0.68989259
1990,20.81387,7.40588
1991,20.90132,7.334742
1992,19.98319,6.838923
1993,19.0396,6.26495
1994,19.34351,6.08572
1995,19.36314,6.169956
1996,18.24104,5.904619
1997,18.34781,5.762719
1998,17.7443,5.249892
1999,16.64838,5.128614
2000,16.49776,4.887512
2001,16.53927,4.835307
2002,16.14433,4.956316
2003,16.07198,4.865662
2004,15.41693,4.446264
2004,7.063313007,5.580263615
1961,5.927289,2.885454
1962,4.428364,2.425727
1963,5.01931,2.585252
1964,4.708868,1.71491
1965,4.482484,2.053422
1966,4.096068,2.242784
1967,4.684091,2.064633
1968,5.258846,1.805746
1969,4.823516,1.958511
1970,4.284171,1.663302
1971,4.533696,1.779856
1972,3.665449,1.318437
